Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL,Voltage_Range,Discharge_Time_Norm,SOH,Delta_SOH,Rolling_DischargeTime,Rolling_SOH
1,2595.3,1151.4885,3.67,3.211,5460.001,6755.01,10777.82,1112,0.4590000000000001,1,1,,2595.3,1
2,7408.64,1172.5125000000007,4.246,3.22,5508.991999999998,6762.02,10500.35,1111,1.0260000000000002,2.854637228836743,0.9991007194244604,-0.000899281,5001.97,0.9995503597122302
3,7393.76,1112.991999999991,4.249,3.224,5508.993000000002,6762.02,10420.38,1110,1.0249999999999995,2.848903787616075,0.9982014388489209,-0.000899281,5799.233333333334,0.9991007194244604
4,7385.5,1080.3206666666665,4.25,3.225,5502.015999999996,6762.02,10322.81,1109,1.025,2.8457211112395484,0.9973021582733813,-0.000899281,6195.8,0.9986510791366907
6,65022.75,29813.487,4.29,3.398,5480.992000000013,53213.54,56699.65,1107,0.8919999999999999,25.054039995376254,0.9955035971223022,-0.001798561,17961.19,0.998021583
7,3301.18,1194.2350769230688,3.674,3.504,5023.6336363636365,5977.38,5977.38,1106,0.16999999999999993,1.2719839710245442,0.9946043165467626,-0.000899281,18102.365999999998,0.9969424460431655
8,5955.3,1220.1353285714576,4.013,3.501,5017.494999999995,5967.55,5967.55,1105,0.512,2.294648017570223,0.9937050359712231,-0.000899281,17811.697999999997,0.995863309
9,5951.2,1220.1353285714576,4.014,3.501,5017.496000000014,5962.21,5962.21,1104,0.5130000000000003,2.2930682387392594,0.9928057553956835,-0.000899281,17523.185999999998,0.9947841726618705
10,5945.44,1216.920914285729,4.014,3.501,5009.993666666647,5954.91,5954.91,1103,0.5130000000000003,2.2908488421377102,0.9919064748201439,-0.000899281,17235.174,0.9937050359712231
11,435251.49,263086.078,4.267,3.086,269.98399999999674,443700.02,443700.02,1102,1.1810000000000005,167.7075829383886,0.9910071942446043,-0.000899281,91280.92199999999,0.9928057553956835
12,3228.58,1135.3493333333172,3.689,3.485,5033.075692,5969.89,5969.89,1101,0.20400000000000018,1.2440103263591877,0.9901079136690647,-0.000899281,91266.402,0.9919064748201439
13,6019.9,1058.2797241378576,4.045,3.475,5053.842846153886,5980.77,5980.77,1100,0.5699999999999998,2.3195391669556504,0.9892086330935251,-0.000899281,91279.322,0.9910071942446044
14,6026.59,1049.487844827585,4.047,3.477,5046.429500000086,5966.82,5966.82,1099,0.5699999999999998,2.322116903633491,0.9883093525179856,-0.000899281,91294.4,0.9901079136690647
15,6008.07,1065.3720591132296,4.045,3.48,5033.075769230723,5954.47,5954.47,1098,0.565,2.3149809270604553,0.987410072,-0.000899281,91306.926,0.9892086330935251
16,423271.35,168773.265,4.27,3.108,219923.99600000004,430028.84,430028.84,1097,1.1619999999999995,163.09149231302737,0.9865107913669064,-0.000899281,88910.898,0.9883093525179856
17,2261.34,883.1999999999534,4.038,3.901,1949.6640000001064,2922.69,6070.11,1096,0.13700000000000045,0.8713212345393596,0.9856115107913669,-0.000899281,88717.45,0.987410072
18,2259.46,883.1990000000224,4.042,3.373,5181.377000000095,6161.38,9310.98,1095,0.6689999999999996,0.8705968481485762,0.9847122302158273,-0.000899281,87965.362,0.9865107913669064
19,2256.61,878.3999999999069,4.042,3.374,5181.375,6154.37,9296.64,1094,0.6679999999999997,0.8694987092051015,0.9838129496402878,-0.000899281,87211.366,0.9856115107913668
20,2252.83,873.6010000000242,4.043,3.374,5174.334000000032,6147.33,9243.58,1093,0.669,0.86804223,0.9829136690647482,-0.000899281,86460.318,0.9847122302158272
21,2250.62,868.8009999999776,4.044,3.374,5160.289000000106,6140.29,9245.53,1092,0.6699999999999995,0.8671906908642545,0.9820143884892086,-0.000899281,2256.172,0.9838129496402879
22,2248.6,868.7969999997877,4.044,3.375,5160.320999999763,6133.34,9248.32,1091,0.6689999999999996,0.8664123608060724,0.9811151079136691,-0.000899281,2253.624,0.9829136690647482
23,2245.05,864,4.044,3.374,5153.413999999873,6126.4,9215.78,1090,0.6699999999999995,0.865044504,0.9802158273381295,-0.000899281,2250.742,0.9820143884892086
24,2242.53,861.594,4.044,3.376,5146.368000000017,6119.36,9190.62,1089,0.6679999999999997,0.8640735175124263,0.979316547,-0.000899281,2247.9260000000004,0.9811151079136691
25,2239.56,859.1960000002291,4.044,3.377,5139.368000000017,6112.36,9179.43,1088,0.6669999999999998,0.8629291411397525,0.9784172661870504,-0.000899281,2245.272,0.9802158273381295
26,2237.35,856.7970000000205,4.044,3.377,5132.25,6105.27,9181.21,1087,0.6669999999999998,0.8620776018186721,0.9775179856115108,-0.000899281,2242.618,0.979316547
27,2236.26,856.7959999998566,4.045,3.377,5125.343999999808,6098.34,9198.3,1086,0.6680000000000001,0.8616576118367819,0.9766187050359713,-0.000899281,2240.1500000000005,0.9784172661870503
28,2234.38,852,4.045,3.378,5118.368000000017,6091.36,9176.38,1085,0.6669999999999998,0.8609332254459985,0.9757194244604317,-0.000899281,2238.016,0.9775179856115109
29,2232.16,852,4.045,3.378,5111.328000000212,6084.33,9145.58,1084,0.6669999999999998,0.8600778330058181,0.9748201438848921,-0.000899281,2235.942,0.9766187050359714
30,2230.78,849.6089999999385,4.045,3.377,5111.2660000000615,6084.25,9137.28,1083,0.6680000000000001,0.8595461025700305,0.9739208633093526,-0.000899281,2234.186,0.9757194244604317
31,2229.16,849.594,4.045,3.377,5104.3589999999385,6077.38,9131.56,1082,0.6680000000000001,0.8589218972758447,0.9730215827338129,-0.000899281,2232.548,0.9748201438848921
32,2227.64,847.1720000002533,4.045,3.378,5097.344000000041,6077.34,9142.98,1081,0.6669999999999998,0.8583362231726581,0.9721223021582733,-0.000899281,2230.8239999999996,0.9739208633093526
33,2226.38,847.2030000002123,4.045,3.377,5090.360000000102,6070.36,9149.66,1080,0.6680000000000001,0.8578507301660694,0.9712230215827338,-0.000899281,2229.224,0.973021583
34,2223.88,844.7970000002533,4.045,3.378,5090.312000000151,6063.3,9133.25,1079,0.6669999999999998,0.8568874503910916,0.9703237410071942,-0.000899281,2227.568,0.9721223021582734
35,2222.62,840,4.045,3.379,5083.3589999999385,6056.36,9112.39,1078,0.6659999999999999,0.8564019573845026,0.9694244604316546,-0.000899281,2225.936,0.9712230215827338
36,2221.02,842.406,4.046,3.378,5076.2660000000615,6049.28,9112.14,1077,0.6680000000000001,0.8557854583285168,0.9685251798561151,-0.000899281,2224.308,0.9703237410071942
